N°,Nom de l'établissement,Ville (Contact),Pays,Photos,Statut,Priorite,SITE WEB HH,DROPBOX,APPLICATION HH,Conseillés par Happy house,Écran connecté,Lien Backoffice,Lien Dropbox,Site_Perso,Adresse,CP,Ville (Propriété),Département,Région,Date de création,Statut closing,Téléphone Extrait,Email 1 Extrait,Email 2 Extrait,Alerte Complétude
118,Les gites de mélodie - Estialescq,Estialescq,France,9.0,Non contacte,"=IF(OR(E119<5, H119=""NON"", I119=""NON"", J119=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,, ,Voir,Voir,,, ,Estialescq,,,15/10/2025,En cours,06 18 01 74 50,melodiebeaume@hotmail.com,N/D,"=IF(AND(H119=""OUI"", I119=""OUI"", J119=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
119,Les gîtes de Mélodie - Oloron Sainte Marie,Olorons Sainte-Marie,France,13.0,Non contacte,"=IF(OR(E120<5, H120=""NON"", I120=""NON"", J120=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,NON,OUI,, ,Voir, ,,, ,Olorons Sainte-Marie,,,15/10/2025,En cours,06 18 01 74 50,melodiebeaume@hotmail.com,N/D,"=IF(AND(H120=""OUI"", I120=""OUI"", J120=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
120,Les gîtes de Melody St Pierre,Oloron-Sainte-Marie,France,NON,Non contacte,"=IF(OR(E121<5, H121=""NON"", I121=""NON"", J121=""NON""), ""HAUTE"", ""MOYENNE"")",NON,OUI,NON,, , ,Voir,,, ,,,, ,En cours,06 18 01 74 50,melodiebeaume@hotmail.com,N/D,"=IF(AND(H121=""OUI"", I121=""OUI"", J121=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
121,Les Granges de l'Abbaye,Ginals,France,15.0,Non contacte,"=IF(OR(E122<5, H122=""NON"", I122=""NON"", J122=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,, ,Voir,Voir,,, ,Ginals,,,01/06/2023,En cours,07 87 20 71 90,contact@lesgrangesdelabbaye.com,N/D,"=IF(AND(H122=""OUI"", I122=""OUI"", J122=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
122,Les Hauts de Jeanvert,Gaillac,France,23.0,Non contacte,"=IF(OR(E123<5, H123=""NON"", I123=""NON"", J123=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,, ,Voir,Voir,,, ,Gaillac,,,26/02/2024,En cours,07 80 16 15 27,contact@leshautsdejeanvert.fr,N/D,"=IF(AND(H123=""OUI"", I123=""OUI"", J123=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
123,Les Hauts de Rebelliou,Flourens,France,NON,Non contacte,"=IF(OR(E124<5, H124=""NON"", I124=""NON"", J124=""NON""), ""HAUTE"", ""MOYENNE"")",NON,OUI,NON,, , ,Voir,,, ,,,, ,En cours,06 64 56 61 50,contact@leshautsdurebeillou.com,N/D,"=IF(AND(H124=""OUI"", I124=""OUI"", J124=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
124,Les hauts du Rebeillou,Flourens,France,7.0,Non contacte,"=IF(OR(E125<5, H125=""NON"", I125=""NON"", J125=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,NON,OUI,, ,Voir, ,,, ,Flourens,,,26/09/2024,En cours,06 64 56 61 50,contact@leshautsdurebeillou.com,N/D,"=IF(AND(H125=""OUI"", I125=""OUI"", J125=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
125,Les pieds dans l'eau,Saint-Cyprien plage,France,17.0,Non contacte,"=IF(OR(E126<5, H126=""NON"", I126=""NON"", J126=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,,Écran connecté,Voir,Voir,,, ,Saint-Cyprien plage,,,11/02/2023,En cours,07 66 84 32 58,contact@vacances-lespiedsdansleau.fr,N/D,"=IF(AND(H126=""OUI"", I126=""OUI"", J126=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
126,Les villas du Vendoule,Saint-Maurice-d'Ardèche,France,20.0,Non contacte,"=IF(OR(E127<5, H127=""NON"", I127=""NON"", J127=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,, ,Voir,Voir,,, ,Saint-Maurice-d'Ardèche,,,15/12/2025,En cours,04 75 38 64 54,contact@lesvillasduvendoule.com,N/D,"=IF(AND(H127=""OUI"", I127=""OUI"", J127=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
127,Loft d'Oc,Fabrezan,France,32.0,Non contacte,"=IF(OR(E128<5, H128=""NON"", I128=""NON"", J128=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,,Écran connecté,Voir,Voir,,, ,Fabrezan,,,18/12/2023,En cours,06 03 38 55 13 / 04 68 75 40 87,loftdoc@gmail.com,N/D,"=IF(AND(H128=""OUI"", I128=""OUI"", J128=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
128,Loft Musha,Pin-Balma,France,16.0,Non contacte,"=IF(OR(E129<5, H129=""NON"", I129=""NON"", J129=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,NON,NON,, ,Voir, ,,, ,Pin-Balma,,,05/07/2024,En cours,06 80 90 49 71,bcbg1@hotmail.com,N/D,"=IF(AND(H129=""OUI"", I129=""OUI"", J129=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
129,Lou Papagai,Saint-Antonin-Noble-Val,France,17.0,Non contacte,"=IF(OR(E130<5, H130=""NON"", I130=""NON"", J130=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,, ,Voir,Voir,,, ,Saint-Antonin-Noble-Val,,,07/04/2023,En cours,06 77 97 40 86 / 05 63 26 42 76,contact@loupapagai.com,N/D,"=IF(AND(H130=""OUI"", I130=""OUI"", J130=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
130,Madame Les Vans,Les Vans,France,15.0,Non contacte,"=IF(OR(E131<5, H131=""NON"", I131=""NON"", J131=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,NON,, ,Voir,Voir,,, ,Les Vans,,,26/09/2024,En cours,06 58 10 27 79,madamelesvans@gmail.com,N/D,"=IF(AND(H131=""OUI"", I131=""OUI"", J131=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
131,Magic Bus,Fenouillet,France,NON,Non contacte,"=IF(OR(E132<5, H132=""NON"", I132=""NON"", J132=""NON""), ""HAUTE"", ""MOYENNE"")",NON,OUI,NON,, , ,Voir,,, ,,,, ,En cours,06 59 09 11 65,N/D,N/D,"=IF(AND(H132=""OUI"", I132=""OUI"", J132=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
132,Maison La Fleur de Boüard,Neac,France,16.0,Non contacte,"=IF(OR(E133<5, H133=""NON"", I133=""NON"", J133=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,, ,Voir,Voir,,, ,Neac,,,11/07/2025,En cours,05 57 25 25 13 / 07 85 73 70 31,reservation@lafleurdebouard.com,N/D,"=IF(AND(H133=""OUI"", I133=""OUI"", J133=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
133,Maison Seignou,Azet,France,24.0,Non contacte,"=IF(OR(E134<5, H134=""NON"", I134=""NON"", J134=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,,Écran connecté,Voir,Voir,,, ,Azet,,,20/11/2023,En cours,05 62 39 19 03,maisonseignou@gmail.com,N/D,"=IF(AND(H134=""OUI"", I134=""OUI"", J134=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
134,Maison Serendipity,Montlivault,France,13.0,Non contacte,"=IF(OR(E135<5, H135=""NON"", I135=""NON"", J135=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,, ,Voir,Voir,,, ,Montlivault,,,25/10/2024,En cours,06 62 05 30 21,N/D,N/D,"=IF(AND(H135=""OUI"", I135=""OUI"", J135=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
135,Maylandie,Ferrals-les-Corbières,France,NON,Non contacte,"=IF(OR(E136<5, H136=""NON"", I136=""NON"", J136=""NON""), ""HAUTE"", ""MOYENNE"")",NON,OUI,NON,, , ,Voir,,, ,,,, ,En cours,06 61 93 01 33,contact@maylandie.fr,N/D,"=IF(AND(H136=""OUI"", I136=""OUI"", J136=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
136,Natura Zome,Caylus,France,4.0,Non contacte,"=IF(OR(E137<5, H137=""NON"", I137=""NON"", J137=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,NON,, ,Voir,Voir,,, ,Caylus,,,06/04/2023,En cours,06 07 88 11 98,naturazome@gmail.com,N/D,"=IF(AND(H137=""OUI"", I137=""OUI"", J137=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
137,NO GO  Autrement lieux de pause,Carnac,France,NON,Non contacte,"=IF(OR(E138<5, H138=""NON"", I138=""NON"", J138=""NON""), ""HAUTE"", ""MOYENNE"")",NON,OUI,NON,, , ,Voir,,, ,,,, ,En cours,06 82 83 19 08,guezello.francoise56@orange.fr,N/D,"=IF(AND(H138=""OUI"", I138=""OUI"", J138=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
138,NO GO Gite de Loustalneve,Bourg-de-Visa,France,NON,Non contacte,"=IF(OR(E139<5, H139=""NON"", I139=""NON"", J139=""NON""), ""HAUTE"", ""MOYENNE"")",NON,OUI,NON,, , ,Voir,,, ,,,, ,En cours,07 82 37 20 95,N/D (Formulaire),N/D,"=IF(AND(H139=""OUI"", I139=""OUI"", J139=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
139,NO GO L'alcove du 510,Montauban,France,NON,Non contacte,"=IF(OR(E140<5, H140=""NON"", I140=""NON"", J140=""NON""), ""HAUTE"", ""MOYENNE"")",NON,OUI,NON,, , ,Voir,,, ,,,, ,En cours,06 33 67 17 40,alcoveredu510@gmail.com,N/D,"=IF(AND(H140=""OUI"", I140=""OUI"", J140=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
140,NO GO La colline de Boutiès,Labarthe,France,NON,Non contacte,"=IF(OR(E141<5, H141=""NON"", I141=""NON"", J141=""NON""), ""HAUTE"", ""MOYENNE"")",NON,OUI,NON,, , ,Voir,,, ,,,, ,En cours,05 63 67 83 50,contact@collinedebouties.com,N/D,"=IF(AND(H141=""OUI"", I141=""OUI"", J141=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
141,Notre Villa de la Baie de Cook,Pao-Pao (Moorea),Polynésie française,NON,Non contacte,"=IF(OR(E142<5, H142=""NON"", I142=""NON"", J142=""NON""), ""HAUTE"", ""MOYENNE"")",NON,OUI,OUI,,Écran connecté, ,Voir,,, ,,,, ,En cours,+689 89 55 25 25,notremaisondelabaiedecook@gmail.com,N/D,"=IF(AND(H142=""OUI"", I142=""OUI"", J142=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
142,Ô trois puits,Laburgade,France,11.0,Non contacte,"=IF(OR(E143<5, H143=""NON"", I143=""NON"", J143=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,, ,Voir,Voir,,, ,Laburgade,,,18/06/2024,En cours,07 52 63 20 55,otroispuits@gmail.com,N/D,"=IF(AND(H143=""OUI"", I143=""OUI"", J143=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
143,Ostalada 46,Reilhaguet,France,10.0,Non contacte,"=IF(OR(E144<5, H144=""NON"", I144=""NON"", J144=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,, ,Voir,Voir,,, ,Reilhaguet,,,16/05/2024,En cours,+33 6 75 60 23 20,info@ostalada46.fr,N/D,"=IF(AND(H144=""OUI"", I144=""OUI"", J144=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
144,Parc Waechter,Molières,France,8.0,Non contacte,"=IF(OR(E145<5, H145=""NON"", I145=""NON"", J145=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,NON,OUI,, ,Voir, ,,, ,Molières,,,17/09/2025,En cours,05 63 65 57 95 / 07 68 26 42 98,N/D (Formulaire),N/D,"=IF(AND(H145=""OUI"", I145=""OUI"", J145=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
145,Parc Waetcher,Molières,France,NON,Non contacte,"=IF(OR(E146<5, H146=""NON"", I146=""NON"", J146=""NON""), ""HAUTE"", ""MOYENNE"")",NON,OUI,NON,, , ,Voir,,, ,,,, ,En cours,+33428382530 / +33768264298,info@entegraps.eu,parcwaetcher@gmail.com,"=IF(AND(H146=""OUI"", I146=""OUI"", J146=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
146,Propriété Cervantes,Toulouse,France,9.0,Non contacte,"=IF(OR(E147<5, H147=""NON"", I147=""NON"", J147=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,NON,NON,, ,Voir, ,,, ,Toulouse,,,29/01/2025,En cours,07 79 77 75 13,mprohr.france@gmail.com,N/D,"=IF(AND(H147=""OUI"", I147=""OUI"", J147=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
147,Regisland,Oderen,France,8.0,Non contacte,"=IF(OR(E148<5, H148=""NON"", I148=""NON"", J148=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,, ,Voir,Voir,,, ,Oderen,,,26/11/2025,En cours,+33 6 07 03 47 99,info@regisland.com,N/D,"=IF(AND(H148=""OUI"", I148=""OUI"", J148=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
148,Riad la porte du Bouregreg,Sale,Maroc,5.0,Non contacte,"=IF(OR(E149<5, H149=""NON"", I149=""NON"", J149=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,, ,Voir,Voir,,, ,Sale,,,11/05/2023,En cours,+212 6 11 34 35 50,riadlaportedubouregreg@gmail.com,N/D,"=IF(AND(H149=""OUI"", I149=""OUI"", J149=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
149,Riad Soleil du Monde,Amazraou,Maroc,4.0,Non contacte,"=IF(OR(E150<5, H150=""NON"", I150=""NON"", J150=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,,Écran connecté,Voir,Voir,,, ,Amazraou,,,11/05/2023,En cours,+212 661 687 131,almalamzrou@yahoo.fr,N/D,"=IF(AND(H150=""OUI"", I150=""OUI"", J150=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
150,Suite 785,Montauban,France,NON,Non contacte,"=IF(OR(E151<5, H151=""NON"", I151=""NON"", J151=""NON""), ""HAUTE"", ""MOYENNE"")",NON,OUI,NON,, , ,Voir,,, ,,,, ,En cours,06 58 41 67 00,contact@suite785-montauban.com,N/D,"=IF(AND(H151=""OUI"", I151=""OUI"", J151=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
151,Terra Rosa,Castelnau-de-Lévis,France,15.0,Non contacte,"=IF(OR(E152<5, H152=""NON"", I152=""NON"", J152=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,NON,, ,Voir,Voir,,, ,Toulouse,,,13/02/2025,En cours,06 50 62 18 21,mnfevents81@gmail.com,N/D,"=IF(AND(H152=""OUI"", I152=""OUI"", J152=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
152,The Happy Hamlet,Fauroux,France,22.0,Non contacte,"=IF(OR(E153<5, H153=""NON"", I153=""NON"", J153=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,, ,Voir,Voir,,, ,Fauroux,,,18/12/2023,En cours,+33 7 71 73 94 36,suska@thehappyhamlet.com,N/D,"=IF(AND(H153=""OUI"", I153=""OUI"", J153=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
153,Un air de famille,Faudoas,France,11.0,Non contacte,"=IF(OR(E154<5, H154=""NON"", I154=""NON"", J154=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,NON,, ,Voir,Voir,,, ,Faudoas,,,09/05/2023,En cours,06 73 22 20 55,giteunairdefamille@gmail.com,N/D,"=IF(AND(H154=""OUI"", I154=""OUI"", J154=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
154,Un jardin en ville,Toulouse,France,7.0,Non contacte,"=IF(OR(E155<5, H155=""NON"", I155=""NON"", J155=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,,Écran connecté,Voir,Voir,,, ,Toulouse,,,14/11/2023,En cours,+33 6 98 00 25 32,N/D (Dreamsway),N/D,"=IF(AND(H155=""OUI"", I155=""OUI"", J155=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
155,Vanille Bourbon,Montauban,France,16.0,Non contacte,"=IF(OR(E156<5, H156=""NON"", I156=""NON"", J156=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,, ,Voir,Voir,,, ,Montauban,,,07/04/2025,En cours,06 76 13 18 99,vanillebourbon82@gmail.com,N/D,"=IF(AND(H156=""OUI"", I156=""OUI"", J156=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
156,Villa Agave,Leucate,France,19.0,Non contacte,"=IF(OR(E157<5, H157=""NON"", I157=""NON"", J157=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,NON,, ,Voir,Voir,,, ,Leucate,,,10/06/2024,En cours,+33 6 23 61 45 86,emilie.pujolcudicini@gmail.com,N/D,"=IF(AND(H157=""OUI"", I157=""OUI"", J157=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
157,Villa Kalia,Puygaillard de Lomagne,France,20.0,Non contacte,"=IF(OR(E158<5, H158=""NON"", I158=""NON"", J158=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,, ,Voir,Voir,,, ,Puygaillard de Lomagne,,,10/06/2024,En cours,06 61 35 46 41,nicolascarboni2a@gmail.com,N/D,"=IF(AND(H158=""OUI"", I158=""OUI"", J158=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
158,Villa Leva,Leucate,France,11.0,Non contacte,"=IF(OR(E159<5, H159=""NON"", I159=""NON"", J159=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,, ,Voir,Voir,,, ,Leucate,,,16/07/2024,En cours,06 28 80 44 68,franck.martin.lp@hotmail.fr,N/D,"=IF(AND(H159=""OUI"", I159=""OUI"", J159=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
159,Villa Maskali,Cuxac D'aude,France,26.0,Non contacte,"=IF(OR(E160<5, H160=""NON"", I160=""NON"", J160=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,,Écran connecté,Voir,Voir,,, ,Cuxac D'aude,,,05/06/2024,En cours,+33 6 33 87 99 91,contact@villamaskali.com,N/D,"=IF(AND(H160=""OUI"", I160=""OUI"", J160=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
160,Villa Musha,Pin-Balma,France,21.0,Non contacte,"=IF(OR(E161<5, H161=""NON"", I161=""NON"", J161=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,, ,Voir,Voir,,, ,Pin-Balma,,,03/07/2024,En cours,+33 6 80 90 49 71,bcbg1@hotmail.com,N/D,"=IF(AND(H161=""OUI"", I161=""OUI"", J161=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
161,Votre terrasse au soleil,Toulouse,France,10.0,Non contacte,"=IF(OR(E162<5, H162=""NON"", I162=""NON"", J162=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,,Écran connecté,Voir,Voir,,, ,Toulouse,,,11/02/2023,En cours,+33 6 98 00 25 32,N/D (Dreamsway),N/D,"=IF(AND(H162=""OUI"", I162=""OUI"", J162=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
