N°,Nom de l'établissement,Ville (Contact),Pays,Photos,Statut,Priorite,SITE WEB HH,DROPBOX,APPLICATION HH,Conseillés par Happy house,Écran connecté,Lien Backoffice,Lien Dropbox,Site_Perso,Adresse,CP,Ville (Propriété),Département,Région,Date de création,Statut closing,Téléphone Extrait,Email 1 Extrait,Email 2 Extrait,Alerte Complétude
120,La forge,Montseret,France,12.0,A décider (A appeler),"=IF(OR(E121<5, H121=""NON"", I121=""NON"", J121=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,, ,Voir,Voir,,, ,Montseret,,,24/04/2025,,+33428382530,N/D,N/D,"=IF(AND(H121=""OUI"", I121=""OUI"", J121=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
121,La Feuilleraie,Montseret,France,18.0,Publié (Conserver),"=IF(OR(E122<5, H122=""NON"", I122=""NON"", J122=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,, ,Voir,Voir,,, ,Montseret,,,24/04/2025,,+33428382530,N/D,N/D,"=IF(AND(H122=""OUI"", I122=""OUI"", J122=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
122,La petite écurie,Montseret,France,14.0,A décider (A appeler),"=IF(OR(E123<5, H123=""NON"", I123=""NON"", J123=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,, ,Voir,Voir,,, ,Montseret,,,24/04/2025,,+33428382530,N/D,N/D,"=IF(AND(H123=""OUI"", I123=""OUI"", J123=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
123,La maison - Grignan,Grignan,France,14.0,Publié (Conserver),"=IF(OR(E124<5, H124=""NON"", I124=""NON"", J124=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,, ,Voir,Voir,,, ,Grignan,,,30/04/2025,,+33428382530,N/D,N/D,"=IF(AND(H124=""OUI"", I124=""OUI"", J124=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
124,Dans ma bulle,Rieumes,France,8.0,Non contacte,"=IF(OR(E125<5, H125=""NON"", I125=""NON"", J125=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,NON,, ,Voir,Voir,,, ,Rieumes,,,24/07/2025,,+33428382530,lnfo@entegraps.eu,N/D,"=IF(AND(H125=""OUI"", I125=""OUI"", J125=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
125,Le jardin secret & Au Temps Suspendu,Montpezat (Gers),France,7.0,Publié (Conserver),"=IF(OR(E126<5, H126=""NON"", I126=""NON"", J126=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,, ,Voir,Voir,,, ,Montpezat-de-Quercy,,,18/07/2025,,06 59 50 07 89,lejardinsecret32@outlook.fr,N/D,"=IF(AND(H126=""OUI"", I126=""OUI"", J126=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
126,Maison La Fleur de Boüard,Neac,France,16.0,Publié (Conserver),"=IF(OR(E127<5, H127=""NON"", I127=""NON"", J127=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,, ,Voir,Voir,,, ,Neac,,,11/07/2025,,05 57 25 25 13 / 07 85 73 70 31,reservation@lafleurdebouard.com,N/D,"=IF(AND(H127=""OUI"", I127=""OUI"", J127=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
127,Combettes,Gaillac,France,31.0,Non contacte,"=IF(OR(E128<5, H128=""NON"", I128=""NON"", J128=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,, ,Voir,Voir,,, ,Gaillac,,,30/07/2025,,05 63 57 61 48,contact@combettesgaillac.com,N/D,"=IF(AND(H128=""OUI"", I128=""OUI"", J128=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
128,Les congeres,Le Grand-Bornand,France,12.0,Publié (Conserver),"=IF(OR(E129<5, H129=""NON"", I129=""NON"", J129=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,, ,Voir,Voir,,, ,Pernet-Mugnier,,,25/07/2025,,04 50 52 83 37,info@lescongeres.com,N/D,"=IF(AND(H129=""OUI"", I129=""OUI"", J129=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
129,Domaine des Fargues,Sainte-Foy-de-Longas,France,19.0,Non contacte,"=IF(OR(E130<5, H130=""NON"", I130=""NON"", J130=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,, ,Voir,Voir,,, ,Sainte-Foy-de-Longas,,,15/09/2025,,+33 (0)6 30 76 03 22,info@lesfargues.com,N/D,"=IF(AND(H130=""OUI"", I130=""OUI"", J130=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
130,Domaine de la durantie,Castelnau-de-Montmirail,France,31.0,Publié (Conserver),"=IF(OR(E131<5, H131=""NON"", I131=""NON"", J131=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,, ,Voir,Voir,,, ,Castelnau-de-Montmirail,,,16/09/2025,,+33 (0)6 15 54 33 13,reservations@domainedeladurantie.com,N/D,"=IF(AND(H131=""OUI"", I131=""OUI"", J131=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
131,Parc Waetcher,Molières,France,NON,Publié (Conserver),"=IF(OR(E132<5, H132=""NON"", I132=""NON"", J132=""NON""), ""HAUTE"", ""MOYENNE"")",NON,OUI,NON,, , ,Voir,,, ,,,, ,,+33428382530 / +33768264298,info@entegraps.eu,parcwaetcher@gmail.com,"=IF(AND(H132=""OUI"", I132=""OUI"", J132=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
132,Bastide de Meilhouret,Larroque,France,25.0,Publié (Conserver),"=IF(OR(E133<5, H133=""NON"", I133=""NON"", J133=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,, ,Voir,Voir,,, ,Larroque,,,18/09/2025,,06 30 41 69 57 / 06 19 01 28 67,contact@domaineducolombier-tarn.com,N/D,"=IF(AND(H133=""OUI"", I133=""OUI"", J133=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
133,Le chalet cathare,Saissac,France,3.0,Publié (Conserver),"=IF(OR(E134<5, H134=""NON"", I134=""NON"", J134=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,, ,Voir,Voir,,, ,Saissac,,,26/09/2025,,06 87 29 88 82 / 04 68 24 44 49,contact@lechaletcathare.fr,N/D,"=IF(AND(H134=""OUI"", I134=""OUI"", J134=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
134,Les gites de Melodie - place st pierre,,,0,Publié (Conserver),"=IF(OR(E135<5, H135=""NON"", I135=""NON"", J135=""NON""), ""HAUTE"", ""MOYENNE"")",NON,NON,NON,,,,,,,,,,,,En cours,N/D,N/D,N/D,"=IF(AND(H135=""OUI"", I135=""OUI"", J135=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
135,Les Chaumières de Fort Moville,Fort-Moville,France,10.0,Publié (Conserver),"=IF(OR(E136<5, H136=""NON"", I136=""NON"", J136=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,, ,Voir,Voir,,, ,Fort-Moville,,,25/10/2025,,06 52 73 59 76,o.saillant@free.fr,N/D,"=IF(AND(H136=""OUI"", I136=""OUI"", J136=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
136,Gite du bois labbé,Épaignes,France,16.0,Publié (Conserver),"=IF(OR(E137<5, H137=""NON"", I137=""NON"", J137=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,, ,Voir,Voir,,, ,Épaignes,,,25/10/2025,,06 52 73 59 76,o.saillant@free.fr,N/D,"=IF(AND(H137=""OUI"", I137=""OUI"", J137=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
137,Gite de l abbée,,,0,Publié (Conserver),"=IF(OR(E138<5, H138=""NON"", I138=""NON"", J138=""NON""), ""HAUTE"", ""MOYENNE"")",NON,NON,NON,,,,,,,,,27,,,En cours,N/D,N/D,N/D,"=IF(AND(H138=""OUI"", I138=""OUI"", J138=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
138,Chateau Bagen,Sauveterre-de-Comminges,France,45.0,Publié (Conserver),"=IF(OR(E139<5, H139=""NON"", I139=""NON"", J139=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,, ,Voir,Voir,,, ,Sauveterre-de-Comminges,,,31/10/2025,,+33 6 07 43 12 80,Welcome@chateau-bagen.com,N/D,"=IF(AND(H139=""OUI"", I139=""OUI"", J139=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
139,L'orée des vignes,PFAFFENHEIM,France,6.0,Publié (Conserver),"=IF(OR(E140<5, H140=""NON"", I140=""NON"", J140=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,, ,Voir,Voir,,, ,PFAFFENHEIM,,,04/11/2025,,06 51 20 73 53 / 03 89 49 55 99,contact@gite-oree-des-vignes.alsace,N/D,"=IF(AND(H140=""OUI"", I140=""OUI"", J140=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
140,Le vieux pressoir,Dieffenthal,France,19.0,Non contacte,"=IF(OR(E141<5, H141=""NON"", I141=""NON"", J141=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,, ,Voir,Voir,,, ,Dieffenthal,,,04/11/2025,,06 79 29 06 05,fgb.hospitalite@gmail.com,N/D,"=IF(AND(H141=""OUI"", I141=""OUI"", J141=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
141,Château Clement,,,0,Non contacte,"=IF(OR(E142<5, H142=""NON"", I142=""NON"", J142=""NON""), ""HAUTE"", ""MOYENNE"")",NON,NON,NON,,,,,,,,,81,,,En cours,N/D,N/D,N/D,"=IF(AND(H142=""OUI"", I142=""OUI"", J142=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
142,Regisland,Oderen,France,8.0,Non contacte,"=IF(OR(E143<5, H143=""NON"", I143=""NON"", J143=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,, ,Voir,Voir,,, ,Oderen,,,26/11/2025,,+33 6 07 03 47 99,info@regisland.com,N/D,"=IF(AND(H143=""OUI"", I143=""OUI"", J143=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
143,Le chalet Guytoune,Morzine,France,19.0,Non contacte,"=IF(OR(E144<5, H144=""NON"", I144=""NON"", J144=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,, ,Voir,Voir,,, ,Morzine,,,15/12/2025,,06 12 95 00 44,info@chalet-guytoune.com,N/D,"=IF(AND(H144=""OUI"", I144=""OUI"", J144=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
144,Les villas du vendoume,,,0,Non contacte,"=IF(OR(E145<5, H145=""NON"", I145=""NON"", J145=""NON""), ""HAUTE"", ""MOYENNE"")",NON,NON,NON,,,,,,,,,07,,,En cours,N/D,N/D,N/D,"=IF(AND(H145=""OUI"", I145=""OUI"", J145=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
145,Les chalets du bonheur,Les Houches,France,8.0,Non contacte,"=IF(OR(E146<5, H146=""NON"", I146=""NON"", J146=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,, ,Voir,Voir,,, ,Les Houches,,,16/12/2025,,06 77 72 96 12,contact@chalets-du-bonheur.com,N/D,"=IF(AND(H146=""OUI"", I146=""OUI"", J146=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
146,Le domaine du Belvedere,Lauzerte,France,24.0,Publié (Conserver),"=IF(OR(E147<5, H147=""NON"", I147=""NON"", J147=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,, ,Voir,Voir,,, ,Lauzerte,,,03/11/2018,,05 63 95 51 10,bienvenue@domainedubelvedere.com,N/D,"=IF(AND(H147=""OUI"", I147=""OUI"", J147=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
147,Les gites de Melodie - estialesq,,,0,Non contacte,"=IF(OR(E148<5, H148=""NON"", I148=""NON"", J148=""NON""), ""HAUTE"", ""MOYENNE"")",NON,NON,NON,,,,,,,,,64,,,En cours,N/D,N/D,N/D,"=IF(AND(H148=""OUI"", I148=""OUI"", J148=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
148,Maylandie,Ferrals-les-Corbières,France,NON,Non contacte,"=IF(OR(E149<5, H149=""NON"", I149=""NON"", J149=""NON""), ""HAUTE"", ""MOYENNE"")",NON,OUI,NON,, , ,Voir,,, ,,,, ,,06 61 93 01 33,contact@maylandie.fr,N/D,"=IF(AND(H149=""OUI"", I149=""OUI"", J149=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
